[2026-06-28T12:59:50.946Z] GET http://localhost:8090/ → 200 (2ms, 384163B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home-premium/videos/f-12.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home-premium/videos/sperm-racing.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home-premium/videos/sperm-racing.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home/videos/f-5-s.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home/videos/f-6.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home/videos/f-7.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home/videos/f-8.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home/videos/mockup-05.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/optimized/home/videos/mockup-06l.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/Scene-2.mp4 → pending (?ms, ?B)
[2026-06-28T12:59:51.062Z] GET https://www.filter.im/footervideo.mp4 → pending (?ms, ?B)
[2026-06-28T13:00:40.473Z] GET https://www.filter.im/optimized/home-premium/videos/sperm-racing.mp4 → 206 (45ms, ?B)
[2026-06-28T13:00:41.646Z] GET https://www.filter.im/Mockups/Duffle_motion.mp4 → 206 (77ms, 2625767B)
[2026-06-28T13:01:14.826Z] GET https://www.filter.im/Mockups/Duffle_motion.mp4 → pending (?ms, ?B)
[2026-06-28T13:02:19.090Z] GET https://www.filter.im/optimized/home-premium/videos/scene-03.mp4 → 206 (43ms, 2562842B)
[2026-06-28T13:14:46.202Z] GET https://www.filter.im/optimized/home-premium/videos/sperm-racing.mp4 → pending (?ms, ?B)
[2026-06-28T13:18:01.136Z] GET https://www.filter.im/optimized/home-premium/videos/sperm-racing.mp4 → 206 (84ms, 2598816B)
[2026-06-28T13:18:02.290Z] GET https://www.filter.im/optimized/home/videos/f-8.mp4 → 206 (39ms, 707060B)
[2026-06-28T13:18:02.290Z] GET https://www.filter.im/optimized/home/videos/f-6.mp4 → 206 (33ms, 2008570B)
[2026-06-28T13:18:02.300Z] GET https://www.filter.im/optimized/home/videos/mockup-06l.mp4 → 206 (30ms, 664347B)
[2026-06-28T13:18:02.307Z] GET https://www.filter.im/optimized/home/videos/mockup-05.mp4 → 206 (66ms, 306886B)
[2026-06-28T13:18:02.307Z] GET https://www.filter.im/optimized/home/videos/f-5-s.mp4 → 206 (66ms, 416397B)
[2026-06-28T13:18:02.307Z] GET https://www.filter.im/optimized/home/videos/f-7.mp4 → 206 (67ms, 111092B)
[2026-06-28T13:18:03.435Z] GET https://www.filter.im/footervideo.mp4 → 206 (47ms, 7503100B)
[2026-06-28T13:18:39.596Z] GET https://www.filter.im/optimized/home-premium/videos/f-12.mp4 → 206 (137ms, 5174241B)
